Number of hours worked last week,Marital status,Highest year of school completed,Rs income in constant $,Condition of health,Have gun in home,Hours per day watching tv,Time at current job,Respondents astrological sign
56,Married,14,28490,Good,No,0,15,Capricorn
60,Divorced,17,72520,Good,No,4,22,Aquarius
24,Divorced,14,8418,Fair,No,4,6-11.9 months,Pisces
40,Married,13,16835,Good,Yes,1,10,Scorpio
42,Never married,17,23310,Excellent,Yes,1,3,Aries
52,Married,17,34965,Excellent,Yes,1,4,Taurus
40,Married,12,1813,Good,Yes,2,18,Libra
50,Divorced,12,23310,Good,Yes,4,9,Aquarius
32,Married,9,7123,Fair,Yes,6,Less than 6 months,Sagittarius
40,Married,12,34965,Good,Yes,3,15,Sagittarius
89,Never married,12,14245,Excellent,Yes,2,5,Gemini
86,Divorced,12,12303,Excellent,No,1,8,Cancer
37,Married,14,11008,Good,Yes,5,2,Capricorn
40,Married,11,3367,Excellent,Yes,2,3,Taurus
35,Married,13,3367,Fair,Yes,1,2,Scorpio
68,Never married,11,16835,Fair,Yes,2,5,Taurus
56,Married,16,34965,Good,Yes,2,20,Gemini
50,Married,12,11008,Excellent,Yes,2,3,Pisces
46,Married,12,16835,Fair,No,2,7,Taurus
50,Separated,20,42735,Good,Yes,1,5,Cancer
50,Never married,17,23310,Excellent,No,2,14,Cancer
40,Married,12,19425,Excellent,Yes,3,2,Leo
60,Married,14,11008,Good,Yes,3,40,Leo
82,Never married,11,2849,Poor,No,2,1,Gemini
26,Married,13,1813,Good,No,1,6-11.9 months,Aries
50,Divorced,12,23310,Fair,Yes,3,2,Aquarius
40,Married,15,14245,Fair,Refused,2,14,Leo
40,Married,13,34965,Good,Yes,0,11,Libra
40,Married,20,28490,Good,Yes,2,8,Aries
42,Divorced,12,11008,Good,Yes,4,5,Cancer
24,Never married,12,2849,Fair,No,12,99,Aquarius
40,Widowed,12,11008,Good,Yes,1,8,Virgo
80,Never married,11,8418,Good,No,3,14,Sagittarius
25,Divorced,14,4662,Poor,No,1,6-11.9 months,Capricorn
13,Married,14,1813,Good,No,3,99,Sagittarius
65,Married,12,5828,Good,Yes,5,5,Gemini
32,Never married,12,14245,Excellent,No,3,6-11.9 months,Aries
25,Never married,12,1813,Good,No,5,3,Scorpio
70,Never married,12,1036,Excellent,No,5,6-11.9 months,Taurus
50,Married,14,16835,Good,Yes,3,10,Scorpio
55,Divorced,16,2849,Excellent,No,2,12,Capricorn
40,Married,15,14245,Fair,Yes,4,2,Pisces
40,Never married,16,19425,Good,No,4,7,Pisces
50,Separated,14,16835,Good,Yes,2,16,Scorpio
18,Divorced,16,2849,Good,Yes,0,2,Pisces
35,Never married,11,4662,Good,Yes,2,25,Gemini
89,Married,15,5828,Poor,Refused,0,6-11.9 months,Aquarius
40,Married,10,7123,Good,Yes,2,1,Capricorn
80,Married,14,23310,Good,Yes,2,3,Sagittarius
32,Never married,16,5828,Good,Yes,2,1,Cancer
33,Divorced,8,5828,Good,No,2,1,Aquarius
40,Divorced,16,16835,Excellent,Yes,2,3,Virgo
40,Divorced,16,42735,Good,No,3,6-11.9 months,Sagittarius
46,Divorced,14,4662,Good,No,1,6-11.9 months,Sagittarius
25,Widowed,6,1036,Fair,No,2,6,Sagittarius
50,Divorced,14,23310,Good,Yes,6,6-11.9 months,Pisces
43,Married,8,9713,Good,Yes,2,2,Pisces
24,Divorced,7,12303,Good,No,4,10,Aries
20,Married,11,8418,Good,No,1,6-11.9 months,Cancer
50,Never married,10,7123,Good,No,4,Less than 6 months,Capricorn
40,Never married,15,9188,Excellent,No,2,-1,Gemini
20,Separated,13,4410,Good,No,2,-1,Scorpio
40,Divorced,11,33075,Fair,No,5,-1,Aries
30,Never married,17,15925,Good,No,1,-1,Libra
40,Never married,16,33075,Good,No,3,-1,Scorpio
50,Never married,16,33075,Fair,No,3,-1,Cancer
55,Married,16,33075,Good,No,2,-1,Cancer
40,Never married,17,22050,Good,No,4,-1,Aquarius
40,Never married,20,26950,Good,No,4,-1,Virgo
35,Divorced,16,40425,Excellent,No,1,-1,Pisces
25,Never married,17,7963,Excellent,No,2,-1,Virgo
45,Never married,20,15925,Excellent,No,2,-1,Libra
46,Never married,12,6738,Good,Yes,4,-1,Scorpio
45,Married,19,341672,Excellent,No,1,-1,Aquarius
46,Married,12,15925,Excellent,No,1,-1,Cancer
40,Divorced,16,58800,Good,No,3,-1,Capricorn
40,Never married,6,2695,Fair,No,4,-1,Capricorn
40,Separated,14,18375,Fair,Yes,3,-1,Aquarius
60,Never married,11,11638,Good,No,2,-1,Virgo
45,Separated,17,33075,Excellent,No,2,-1,Virgo
57,Never married,11,15925,Good,Yes,1,-1,Leo
40,Married,17,49000,Excellent,Yes,1,-1,Cancer
28,Married,16,10413,Good,No,2,-1,Aries
30,Never married,14,3675,Good,No,1,-1,Aries
30,Married,13,2695,Good,No,9,-1,Cancer
30,Never married,12,18375,Good,No,1,-1,Pisces
89,Widowed,14,6738,Good,No,2,-1,Aquarius
20,Married,12,10413,Excellent,No,4,-1,Virgo
18,Married,12,4410,Excellent,Yes,3,-1,Scorpio
45,Married,15,58800,Good,No,3,-1,Virgo
50,Married,16,341672,Good,No,2,-1,Gemini
55,Married,18,49000,Good,No,0,-1,Taurus
30,Never married,12,22050,Good,No,5,-1,Leo
24,Never married,14,6738,Good,No,1,-1,Scorpio
40,Never married,14,15925,Good,No,3,-1,Aries
40,Never married,12,15925,Good,No,3,-1,Capricorn
35,Married,17,341672,Good,No,1,-1,Virgo
45,Divorced,14,22050,Fair,No,1,-1,Leo
40,Married,16,49000,Good,Yes,1,-1,Scorpio
70,Separated,20,33075,Excellent,No,2,-1,Cancer
40,Married,14,40425,Good,No,1,-1,Capricorn
50,Married,9,4410,Excellent,No,2,-1,Aries
10,Divorced,12,245,Excellent,No,0,-1,Aquarius
40,Never married,18,2205,Fair,No,0,-1,Taurus
60,Married,18,49000,Good,No,1,-1,Libra
39,Married,16,33075,Good,Yes,2,-1,Leo
25,Married,20,49000,Good,Yes,2,-1,Taurus
40,Married,16,26950,Excellent,Yes,0,-1,Leo
60,Married,12,22050,Good,No,0,-1,Gemini
38,Never married,17,26950,Good,No,0,-1,Sagittarius
40,Never married,16,22050,Excellent,Yes,1,-1,Scorpio
50,Married,15,10413,Excellent,Yes,2,-1,Sagittarius
20,Married,16,9188,Excellent,No,2,-1,Aries
55,Married,16,58800,Excellent,No,0,-1,Gemini
32,Divorced,13,26950,Excellent,No,2,-1,Cancer
50,Never married,17,49000,Good,No,1,-1,Capricorn
